"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=344, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"2","0.011234","20.37.41.41","246.48.2.26","IPv4","138","Fragmented IP protocol (proto=PUP 12, off=54808, ID=fcbd)"
"3","0.011297","","","802.11","138","S1G Beacon, Flags=op......C"
"4","0.011858","","f4:ef:6c:dc:94:a8 (f4:ef:6c:dc:94:a8) (RA)","802.11","138","Acknowledgement, Flags=op...MF.C"
"5","0.012508","64.233.166.125","192.168.1.122","TCP","138","5222  >  64738 [ACK] Seq=1 Ack=1 Win=269 Len=0 TSval=495605816 TSecr=423538581"
"6","0.013083","","Apple_37:5b:39 (f4:0f:24:37:5b:39) (RA)","802.11","39","Clear-to-send, Flags=........C"
"7","0.013127","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (TA)","Apple_37:5b:39 (f4:0f:24:37:5b:39) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"8","0.088849","8d:84:c3:b1:e7:9a","9f:6b:aa:b3:45:d3","LLC","138","I P, N(R)=115, N(S)=120; DSAP 0x9e Individual, SSAP XNS Command"
"9","0.089212","ZioncomE_99:90:72 (b8:55:10:99:90:72) (TA)","9f:7e:8e:2b:56:47 (9f:7e:8e:2b:56:47) (RA)","802.11","138","802.11 Block Ack Req, Flags=opm.RM..C"
"10","0.089764","b8:55:50:9a:30:10","1b:47:4c:ba:f7:26","802.11","138","QoS Data, SN=196, FN=2, Flags=opm.RM..C"
"11","0.090271","64.233.166.125","192.168.1.122","TCP","138","5222  >  64738 [ACK] Seq=1 Ack=2 Win=269 Len=0 TSval=495605894 TSecr=423538659"
"12","0.095023","","Apple_37:5b:39 (f4:0f:24:37:5b:39) (RA)","802.11","39","Clear-to-send, Flags=........C"
"13","0.095066","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (TA)","Apple_37:5b:39 (f4:0f:24:37:5b:39) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
