,_ws.col.AbsTime,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,Unnamed: 9,Unnamed: 10
371,42:08.5,fc:6b:f0:0a:c3:43,ff:ff:ff:ff:ff:ff,,,,,,,,
373,42:08.5,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
448,42:08.6,fc:6b:f0:0a:c3:43,ff:ff:ff:ff:ff:ff,,,,,,,,
579,42:10.2,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
3896,42:16.5,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,,,
4430,42:20.0,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
6018,42:27.0,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,,,
6162,42:29.0,fc:6b:f0:0a:c3:43,00:1c:10:f7:cd:bc,192.168.1.111,47.91.156.175,40100,12306.0,,,,
6257,42:29.9,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
6268,42:30.1,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
6270,42:30.1,00:1c:10:f7:cd:bc,fc:6b:f0:0a:c3:43,47.91.156.175,192.168.1.111,12306,40100.0,,,,
6272,42:30.1,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
6316,42:31.8,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6317,42:31.8,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6318,42:31.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6322,42:31.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6323,42:31.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6364,42:32.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6365,42:32.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6366,42:32.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6367,42:32.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6403,42:33.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6408,42:33.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6411,42:33.7,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6458,42:34.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6469,42:34.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6478,42:34.7,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6501,42:35.0,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
6503,42:35.1,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
6506,42:35.2,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
6508,42:35.3,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
6510,42:35.4,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
6512,42:35.5,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
6514,42:35.6,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
6519,42:35.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,228.28.71.225,10.190.194.118,,,,,,
6520,42:35.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6532,42:35.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6543,42:35.7,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6550,42:35.7,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
6614,42:36.6,00:17:88:77:35:80,92:2c:c5:ee:c3:b4,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
6615,42:36.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900.0,57882.0,,
